text,label,five_folds,ten_folds,train_test_split
"Tja, Herr Laschet, was sagen Sie dazu.  Jede Schulstunde betrifft im Schnitt wohl 25 Schüler. Das kritisiere ich und fordere Sie und die Landesregierung zum Handeln auf. ",0.0,0,1,0
"Höchste Zeit, daß dieser Vermögensvernichter Draghi entsorgt wird!",1.0,0,1,0
Einem anderen Nachrichtensender war heute nachmittag zu entnehmen: Hochzeitsgesellschaft blockiert AB 81 und filmt entstehenden Stau!,0.0,0,1,0
"Da es sich um organisierte Kriminalität (Entführung von hoheitlichen (von der Gesellschaft bezahlten) Infrastruktur) handelt, können die Drahtzieher (Verwalter) persönlich zur Rechenschaft gezogen werden.  Sie haben Namen, Adresse, Gesicht, (unkündbare?) Stellung!",1.0,0,1,0
"Haha, es geht um Waffen, nur um Waffen und Wirtschaftsinteressen!  nicht in meinem namen!",0.0,0,1,0
Die Lösung für den Ku Klux Klan: Sniper!,1.0,0,1,0
Ob im Schulministerium auch die Heizung abgeschaltet wird? ,0.0,0,1,0
"Das ist eine Kriminelle! Die Leute die mit Spenden unterstützen unterstützen eine kriminelle Vereinigung. Ich hoffe, hier wird hart durchgegriffen!",1.0,0,1,0
Wenn ich diese Bilder sehe bin ich erschüttert. Zeitgleich stellen ich mir die Frage wer für den Schaden aufkommt und ob die Brandschutzbestimmungen in dem Unternehmen durch die zuständigen Behörden überwacht wurden. ,0.0,0,1,0
"Fest steht mal eines (und das schon seit langer Zeit): wenn ich einen Menschen umbringen will, ""haue ich mir einen hinter die Binde"" und mache das mit einem Auto - günstiger kann ich dabei in der Regel vor Gericht nicht abschneiden, was die Konsequenzen angeht. Das ist der effektivste Weg, schnell wieder in Freiheit zu sein - MIT Führerschein, versteht sich. ",1.0,0,1,0
"Mir fehlen mittlerweile die Worte für derartige Politiker.  Ich kann mir nur vorstellen, daß Seehofer und dieser Herr Müller alles tun, damit die AfD die nächsten Landtagswahlen auch sicher gewinnt und die beiden Herren nach der Wahl wieder sagen können : Wir haben verstanden !",0.0,0,1,0
"Dafür gehören alle Täter ein Leben lang bei Wasser und Brot weggesperrt,  aber bei unserer Luschen-Justiz ahne ich böses. Mein Vorschlag: Sperrt diese XXXXX (keine meiner Bezeichnungen würde durch die Nettiquette gehen) mal unbeaufsichtigt für 10 Minuten mit den Angehörigen der Kinder in einen Raum. Dann hätte sich vieles erledigt und die XXXXX würden nicht noch jahrelang Kosten verursachen...",1.0,0,1,0
Besser dort als im Hambacher Forst,0.0,0,1,0
"Lieber Helfer, bitte bleibe anonym. Es könnte nämlich sein, das der Griff ins Lenkrad möglicherweise strafrechtlich relevant ist.",1.0,0,1,0
"Schön,jetzt weiß ich wenigstens,wofür ich den ganzen Papierkram mit den Datenschutzverordnungen,der mir vor die Nase gelegt wurde,unterschrieben habe!!! Danke für NICHTS!!! Wenn ein Angestellter von mir dies zu verantworten hätte,hätte ich ihm nur einen Satz gesagt:danke für die Info,Kündigung ist raus!!!",0.0,0,1,0
"Ja, raus mit diesem Hetzer!",1.0,0,1,0
"Divus : Die Negativbeispiele von Eberl sind ja o.k., aber Eberl hat ja nicht nur scheiss gebaut. Die Frage ist, geht Eberl, wer kommt dann. Ich sehe am Managerhimmel keine Persönlichkeit der man eine bessere Leistung zutrauen könnte. Vielleicht wäre Effe der Richtige aber da hat die Riege um Königs sicher keinen Bock drauf - zu unbequem. Effe redet außerdem nicht so gewandt wie Eberl und das ist in gewissen Kreisen wichtiger als sinnvolle Entscheidungen.",0.0,0,1,0
"Vielleicht sollte Carola mal bei ihrem Waffenschieber-Vater ansetzen, hier könnte sie aktiv Fluchtursachen-Bekämpfung betreiben...",1.0,0,1,0
"Schade, mit diesen Mietverträgen hätte ich das Gebäude auch gern gekauft.",0.0,0,1,0
Die Tötung von Soleimani ist genauso gerechtfertigt wie die Tötung von z. B. Trump oder Netanjahu.,1.0,1,1,0
"--> Tuxtom: ""ich würde wünschen, die EU tritt noch nach und schmeisst die Ende Oktober hochkant raus"" Es ist immer wieder erschreckend, wie leicht sich Menschen zum Hass auf Menschen aufstacheln lassen.",0.0,1,1,0
"Ja es ist soweit, das wir uns selber Verteidigen müssen. Ich habe drei lange dünne Schraubenzieher immer dabei. Die gehen überall durch und sind keine Waffen",1.0,1,2,0
"In n-tv wir von 100 Mio. gesprochen. Einfach nur noch Irrsinn. Ich weiß, warum ich mich nicht mehr für Profi-Fußball interessiere. ",0.0,1,2,0
"Ein Kannibale ist in der agierenden Pädophilenpartei recht gut aufgehoben. Im Anschluss ihrer inzestiösen und pädophilen Vergehen, können die Steineschmeißer ihre Beweise verschwinden lassen.  Viel Glück noch...... Und ich lad schonmal den Karabiner durch. ",1.0,1,2,0
"Herr Vollmer, sie sollten sich nicht über die CDU erheben. Denn auch sie umschreiben die Ehe für homosexuelle als Ehe für alle. Keinen Mut? Fürchtet man, dass die gesellschaftliche Akzeptanz vielleicht nicht so hoch wäre, würde man das Kind beim Namen nennen?",0.0,1,2,0
"Gerade in den Nachrichten gesehen, was die Italiener mit den Villen solcher Subjekte machen. Das täte mir gefallen!",1.0,1,2,0
"Wer will sich schon mit""der Mannschaft ""identifizieren?",0.0,1,2,0
"Naja... ich würde ja fast sagen wollen: ""Einer Königsmörderin würdig"". Aber ich werde es nicht sagen ;-)",1.0,1,2,0
"In einer demokratischen Arme darf demokratisch gewählt werden. Und wenn das Angebot der AfD nächer an den Wünschen und Bedürfnissen der denkenden Bürger ist, sieht das aus sicht der CDU nach einem Verlust aus. Die Demokratie hat diese Bürger nicht verloren.",0.0,1,2,0
"Ich überlege demnächst mal ihre Haustür aufzubrechen und mich an Ihrem Kühlschrank zu bedienen (Ist hoffentlich nix veganes drin?!). Mal schauen, was Sie dann kommentieren.",1.0,1,2,0
"""So ist mittlerweile ein hoher einstelliger Betrag zusammen gekommen, etwa sieben bis acht Millionen Euro sind es."" Hab ich in Mathematik was verpasst, oder sind Millionen einstellig?",0.0,1,2,0
"Das ist doch der Freund von Ober-Oligarch Putin!  Der sollte seinen dummen Mund halten, der Mann der ""Agenda 2010""!  Dem gehört, Pardon!, voll auf die Fresse, um es einmal mit Frau Nahles auszudrücken.",1.0,1,2,0
"2007 wurden die Ziele für 2020 festgelegt. 2011 kam der panische Atomausstieg von Merkel. Nun muss Merkel am 20.09.2019 feststellen, dass die Ziele 2020 nicht erreicht wurden. Woran das wohl gelegen hat?",0.0,1,2,0
"Warum werden die ""Aktivisten"" nicht wegen Mordversuch sofort Verurteilt 5 Jahre in den  Bau. Wer nicht innerhalb von 15 Minuten vom Baum ist der Baum wird gefällt. ",1.0,1,2,0
"Komisch, in der Presse war von den einzelnen Taten so gut wie nichts zu lesen. Wenn täglich ein Hund getötet würde, wäre das sicher ein Dauerthema in der Presse.  Hat jemand eine Idee warum das so ist ?",0.0,1,2,0
"Hangt  den Täter auf... an Stacheldrath...   Wenn er endgültig verurteilt wurde.... Wenn mein Kind dabei gestorben wäre, würde ich das tun, mal sehen ob Allah, oder sein ""Proohet"" bzw. Lügner  Pederast was dagegen tun könnte....",1.0,1,2,0
"Es nervt nur noch, das jeder meint die Moral mit Löffeln gegessen zu haben und zu allem rumpöbeln zu müssen. Was anderes ist das doch nicht, fehlt nur noch die Nazikeule. ",0.0,1,2,0
Es wird zeit das wir Gesetzte ändern. Solche Typen müssen auf der Stirn gezeichnet und eine Hand ab.,1.0,1,2,0
"Wie immer, sobald in RPO ein Artikel über die Oper in Düsseldorf erscheint, kommen Bildungsferne Schichten hervorgekrochen und kleffen los: ""Nischenprodukt"", ""Will keiner haben"", usw. Oper und Ballett muss nicht Jedermanns Geschmack sein, aber aus eigener Abneigung darauf  zu schliessen, das alle anderen Düsseldorfer Kunst und Kultur ebenfalls ablehnen zeigt doch wie einseitig diese Menschen gestrickt sind.",0.0,1,2,0
 bei der Auflösung von Blockaden auch Schlagstöcke eingesetzt.  Warum auch nicht? Anders ist den ewigen R2G Demonstranten doch nicht bei zu kommen. ,1.0,1,2,0
"Die, die erwischt werden, die müssen einfach richtige Strafen bekommen. Schon allein das überschnelle Fahren braucht hohe Geldbußen (5000 Euro aufwärts), dazu Führerscheinentzug (1 Jahr aufwärts, auch gerne mit medizinisch-psycholog. Gutachten), auch die Enteignung sollte stets geprüft werden. Und so bald es Rennen sind müssen Haftstrafen her. ",0.0,1,2,0
Dem sollte man etwas abschneiden,1.0,1,2,0
"Eine bodenlose Frechheit und die absolut falsche Richtung für den Umweltschutz. Wir sind 4 Personen und schöpfen selten das Maß der 35 l Tonne aus. Nun werden wir für unseren umweltbewussten Umgang mit Abfall bestraft. Ich werden künftig das nicht genutzte Volumen fotografieren und dann alle 14 Tage ein Foto an die mags senden, an die Presse .....und Politik. Wir werden wirklich entmündigt....leben wir wirklich in einer Demokratie? ",0.0,1,2,0
"""CDU-Politiker Axel Voss verteidigt die Pläne"" Mit dem Filter will man die Menschen tot machen Mit dem Filter kann man dann leicht alles Sperren Damit ist die Demokratie zu Ende Typen wie Voss gehören in die Gosse",1.0,1,2,0
Besser vollautomatisch fahrende Busse - da streikt dann kein Fahrer. Wie viel würden die Fahrgäste denn gerne extra zahlen?,0.0,1,2,0
Wann steht endlich ein ehrbarer Mitarbeiter des CIA auf und erlöst die Welt?,1.0,1,2,0
"Bis jetzt läuft alles, wie erwartet. Die neuen Spieler schlagen voll ein. Erst Thuram, jetzt Embolo und Lainer. Und Plea trifft nach genialer Freistoßidee. Alle machen alles richtig. Jetzt noch Bensebaini für Wendt und dann wird diecPost bald auch spielerisch abgehen. Weiter so. ",0.0,1,2,0
"Da es ja i,mmer Lustiger wird ,wir Glauben doch alle was uns die Kirche erzählt , also nehmen wir den Spruch mit dem Auge und Zahn doch mal Wörtlich. Mal Schaun was daraus wird.",1.0,1,2,0
Und diese Leuten bezahlen auch noch die selben Dauerkartenpreise  wie letzte Saison. Die nächste Dauerkartenkauf wird mir eine Überlegung werd sein und ich bin treuer Fortune seit 1961!!!!!!!     ,0.0,1,2,0
"Wat??? Dieses Würstchen existiert noch? Und dann noch einen Auftritt durch den TuS ??  Naja, der TuS halt. Passt zu deren Niveau! Der soll bleiben wo der Pfeffer wächst, oder dort wo es noch Nürnberger Rassengesetze gibt. Der ist ja noch nicht mal witzig. ",1.0,1,3,0
"Wie immer bei den ÖKs, Bevormunden und Ausbeuten von dehnen die Sie jahrelang überversorgt alimentieren müssen. Da helfen nur Wahlen und gute alternativen gegen diese idiologischen R2Gs. In NRW haben die Wähler das ja schon durchgeführt.",0.0,1,3,0
"Es wird Zeit, die Schulpflicht mit Gewalt durchzusetzen.",1.0,1,3,0
"Dennoch gilt es den dörflichen Charakter aufrechtzuerhalten. Bauhaus war vor 100 Jahren, die Höfe sind wesentlich älter. Warum müssen in Orten mit dörflichen Charakter, siehe Raderbroich oder Herrenshoff, plötzlich reihenweise dreistöckige Häuser inmitten von 1 1/2 geschossigen Häusern gebaut werden? Zumal diese  Mehrfamilienhäuser alle gleich aussehen und null Charakter im Ausssehen haben . Eben langweiliger Bauhausstil. Da macht es sich  die Stadt Korschenbroich sehr einfach. ",0.0,1,3,0
Diese Menschen sind eine Schande . Feuerwehrleute angreifen die Menschen schützen und helfen unter Einsatz ihre Lebens.  Holt diese von den Bäumen . Mit Hochdruck Wasserspritzen die Baumhäuser unter Wasser setzen. Diese Gewalttäter einsperren und verurteilen zu Strafen die angemessen sind. Gemeinsamer versuchter Totschlag Bildung einer Terror Zelle.,1.0,1,3,0
"Ticket 2000, wenn ich sehe wie Teile meiner Heimat verschwinden, dann hat das nichts mit grossen Ingenieursleistungen zu tun.  Fahren Sie mal nach Pesch, Immerath, Borschemich und Lützerath. ",0.0,1,3,0
Versenkt doch endlich das Schiff.,1.0,1,3,0
"Vor vielen Jahren war ich während eines hinduistischen Feiertages auf Bali, an dem das gesamte öffentliche Leben stillstand. Kein Lärm, kein Verkehr, keine Veranstaltungen. Für mich als Gast war es normal, sich an die Regeln zu halten. Sogar der sonst morgens um fünf nervende Muezin der benachbarten Moschee sang im Flüsterton. Auch wenn ich selbst Agnostiker bin, halte ich Toleranz und Rücksichtnahme für wichtig.",0.0,1,3,0
"Das internationale Seerecht ist da eindeutig: Piraten dürfen sofort erschossen werden, gilt auch für Helfer.",1.0,1,3,0
"Dat wäre mit einem Schwarz-Weiß-Röhren-Gerät wohl nicht passiert! Aber die Vernetzung von Unterhaltungs- und Haushaltsgeräten wird uns in der Werbung ja als modern und ""vorteilhaft"" verkauft. Ehrlich gesagt, kein Mensch braucht ein vernetztes Haus! Wie das Wort schon sagt: im Netz ist man gefangen... ",0.0,1,3,0
Geisel gehen sie in den Wald und nehmen eine Schaufel mit,1.0,1,3,0
"Gut zu wissen, dass für meine Kinder keine Schulpflicht mehr besteht.",0.0,1,3,0
"Wo ist das Problem ? Deadline setzen, bis wann jeder den Wald zu verlassen hat und danach Brandrodung. Fertig ! So what...",1.0,1,3,0
"Super, ich kauf' mir so kein E-Mobil. Wo soll ich laden? No E-Auto for Öko. Die Ökobilanz ist eh schlecht.",0.0,1,3,0
"Macron wirft dieser selbstverliebte Schwachkopf eine kolonialistische Mentalität vor. Die Bolsonaros, selbst erst Ende des 19. Jahrhunderts aus Italien als Kolonialherren in dieses Land eingedrungen, erheben sich massiv und skrupellos aus reiner Profitgier  gegen die wahren Bewohner  dieses Landes.  Solche Typen sollte man mit aller Gewalt stoppen und zum Teufel jagen....",1.0,1,3,0
"Der VKU hat ihr schon ein fürstliches Gehalt bezahlt, offenbar reicht es ihr nicht. ",0.0,1,3,0
"Dann aber auch automatische Waffen für Schüler. Denn sonst können die sich gegen Amok-Lehrer nicht wehren.  Ach gäbe es doch nur einen aufrechten Ami, der ""versehentlich"" den Trump erwischt.",1.0,1,3,0
"Letzte Woche wurde ein »normales« Paar getraut. Der Standesbeamte hatte versehentlich beide als Frau eingetragen! Ein Trauzeuge war wachsam und bemerkte den Lapsus. Die »Hochzeitsgesellschaft« (4 Personen) bewegte sich daraufhin ins Dienstzimmer des Beamten, wo der Fehler im Original behoben wurde.  Zum Glück war es an dem Tag die einzige Hochzeit, so das es nicht zu weiteren terminlichen Verzögerungen kam.   Armes Deutschland - wohin bist Du gekommen.",0.0,1,3,0
"Ich dachte, dass Sie mal Opfer einer Messerattacke werden ! ",1.0,1,3,0
Hehehe. Und Jahn Böhmermann tritt die Nachfolge von Kanzlerin Merkel an.  Narrhallamarsch. Wollen wir ihn reinlassen?,0.0,1,3,0
Wo bleibt nur Lee Harvey Oswald II.?,1.0,1,3,0
Scholz hat schon beim G20 in HH versagt und wird auch den Soli nicht abschaffen ! Da sind wohl irgendwo Wahlen ?,0.0,1,3,0
Freiheit für den Virus!!!! Nieder mit den Schutzmasken!!!,1.0,1,3,0
"Warum haben Sie diesen Blödsinn von mir veröffentlicht?""Trump ist super. Ich liebe ihn. Das ist ein toller Typ. Hoffentlich kriegt er eine zweite Amtszeit. Der macht super Sachen. Der ist sehr sympathisch. Der ist gut. Der macht alles für uns. Hoffentlich wissen die Leute das. Der kann auch mit Geld umgehen...."" Wie kann man so etwas zeigen?  und kritische Töne nicht? Trump ist ein menschliches NO-GO...",0.0,1,3,0
Ja dann läuft ja alles wie geschmiert nur noch abwarten und bald sind alle Flüchtlinge am Coronavirus gestorben. Perfekte Problemlösung. Jedenfalls kam das Virus diesbezüglich genau zur rechten Zeit. ,1.0,1,3,0
"Bei den Briten scheint man es ja sehr genau mit den rechtlichen Aspekten des Aufenthalts zu nehmen.  Bei Merkels Gästen ist man in diesem Punkt von kaum zu überbietender Großzügigkeit. Aber wenn die Briten das aus vier Buchstaben bestehende Zauberwort aussprechen, wird man da mit Sicherheit auch erst mal sehr großzügig verfahren.  Meine Meinung dazu: Es ist einfach nur noch lächerlich!",0.0,1,3,0
Frau Marschall hat schon vor gefühlten  20zig Jahren immwer wieder   behauptet das wir nächste Woche Vollbeschäftigung haben. Ein Vorschlag: Frau Marschall erzählt das ( Junge Bewerber können sich die Jobs aussuchen) demnächst den zehntausenden Jugendlichen die mal wieder keine Lehrstelle bekommen werden!....ohne Personenschutz. ,1.0,1,3,0
"Eine  ""Impfpflicht""  sollte für   ALLE  Säuglinge bzw. Kleinkinder  gelten !!!! - ",0.0,1,3,0
Jagd den Geisel aus der Stadt! ,1.0,2,4,0
ohh. diese pöse Borussia kauft die Konkurenz leer;) ,0.0,2,4,0
"Wie währe es mal langsam, diese Vandalen auszuräuchern, damit endlich mal Ruhe ist und nicht weiter Steuergelder für die unsäglichen Polizeieinsätze vergeuldet wird.",1.0,2,4,0
"Wenn der Impfstoff dann da ist, hoffe ich doch sehr, dass die ganzen Corona-Hysteriker vornean stehen, um ihn für die Allgemeinheit zu testen. Wobei... wenn wir erstmal alle unter Androhung von Repressalien zwangsgeimpft werden, ist das eigentlich auch egal.",0.0,2,4,0
"Die französische Polizei fackelt eben nicht lange, eine Polizeikugel ist eben billiger als ein jahrelanger Prozess und Haftunterbringung die nur den Steuerzahler belastet. ",1.0,2,4,0
"Die gelben Säcke sind generell keine gute Lösung. Auf unserer Straße gibt es u.a. deswegen ein Rattenproblem, weil die Säcke den Tieren natürlich leicht Zugang zum Inhalt erlauben. Abgesehen davon, dass besagte Säcke bei Wind gern durch die Gegend fliegen und ihren Inhalt verteilen. Vielleicht im Rahmen der Diskussion darüber nachdenken, nur noch gelbe Tonnen zu nutzen.",0.0,2,4,0
"""Messerkriminalität ist leider ein Thema. In Großstädten muss man mittlerweile damit rechnen, dass Menschen Messer bei sich tragen und sie auch herausholen, wenn es eine Auseinandersetzung gibt.""  Und gegen die ""Messermänner"" (aus nicht genannt wollenden Gegenden) helfen (zur finalen Eigen-Rettung!) nur die ""drei Herren"" Walther,  Heckler und Koch!  ",1.0,2,4,0
Spielt die Borussia weiter so einen Graus dann hilft vielleicht Trainer Krauss.  Schlimmer geht's nimmer.,0.0,2,4,0
"Zuerst einmal ermitteln, wer die Schuld trägt. Dann vor den Internationalen Gerichtshof in Den Haag stellen und verurteilen, am besten, zur Abschreckung, Todesstrafe.",1.0,2,4,0
"Bigottes Deutschland: Kippa-Tragen wird zur Bürgerpflicht, gleichzeitig soll das Kopftuch in öffentlichen Gebäuden und für Schülerinnen verboten werden. Wenn schon, dann religiöse Toleranz für alle Glaubensgemeinschaften!",0.0,2,4,0
"Danke Frau Merkel, vielen Dank Frau Merkel. Ein weiteres Opfer ihrer inakzeptablen Flüchtlingspolitik! Sie gehören vor ein Strafgericht und die besondere Schwere der Schuld ist fest zu stellen !! Gehen Sie zu den Eltern des kleinen Jungen und erklären Sie sich!!!!!",1.0,2,4,0
Klar in den Vereinsfarben - aber in unseren. Das ist die Fortuna-Krawatte. Das nennt sich Diplomatie der Extraklasse!,0.0,2,4,0
"Könnte das Räumungskommando nicht das Gesindel aus den Bäumen direkt mit entsorgen ? Man könnte ein Spendenkonto einrichten. Diese ekelhaften Straftäter sollten keinerlei Toleranz mehr erfahren, sondern knallhartes, konsquentes und schmerzhaftes abräumen. Bin gerne behilflich.",1.0,2,4,0
Also gibt es eine einfache Lösung für Trump: Er leitet einfach die hochqualifizierten Migranten aus Honduras nach Kanda weiter.  Wahrscheinlich aber möchte Kanada solche Migranten auch nicht haben. Was nur einem Tasachenverdrehenden Michel nicht einleuchtet.,0.0,2,4,0
"Man sollte alle CDU-Politiker irgendwo einsperren, wo sie keinen Schaden mehr anrichten können...",1.0,2,4,0
Seehofer hat in der Asyldebatte mehr angestoßen als jeder andere Politiker. Das muss man schlichtweg festhalten!   Wären in der Union nicht derart viele Zauderer hätte man auch wirksame Maßnahmen durchbekommen.,0.0,2,4,0
Wanted  dead or alive  PETA Aktivisten. ,1.0,2,4,0
"Die Tendenz geht ja in Richtung russisches Vorbild, da wird an den Eingängen der Fabriktore der Arbeiter vom Vorarbeiter gefragt, was er wählt und wenn es die falsche Entscheidung ist, kann er sich gleich die Papiere holen. Die Demokratie geht manchmal seltsame Wege, von wegen frei,geheim,gleich und direkt, wird alles unterwandert.",0.0,2,4,0
